Model Output Date,10 year Expected Inflation,Real Risk Premium,Inflation Risk Premium
1/1/82,6.1976115,1.2368608,0.4232992
2/1/82,6.0792322,1.2317813,0.3466207
3/1/82,5.6481299,1.1657249,0.3298441
4/1/82,5.7131884,1.2578395,0.4040005
5/1/82,5.6899798,1.157556,0.328358
6/1/82,5.6023786,1.1411042,0.3017158
7/1/82,5.9160055,1.2513304,0.3655436
8/1/82,5.6967159,1.1723375,0.2800865
9/1/82,5.733214,1.09978,0.180274
10/1/82,5.3410651,1.0966023,0.2378697
11/1/82,4.7173264,1.163714,0.3106571
12/1/82,4.8624209,1.2608313,0.3562076
1/1/83,4.717531,1.213813,0.37095
2/1/83,4.8609296,1.2934019,0.409499
3/1/83,4.6099924,1.2272405,0.4053341
4/1/83,4.7379918,1.251615,0.4081102
5/1/83,4.5383586,1.2071457,0.3943521
6/1/83,4.7208859,1.2804237,0.4180947
7/1/83,4.8680949,1.3026097,0.4354794
8/1/83,5.0178961,1.4394496,0.52705
9/1/83,5.1079768,1.424579,0.5041145
10/1/83,4.9742005,1.344574,0.4691074
11/1/83,5.0693748,1.3561477,0.4821815
12/1/83,5.0893714,1.3389832,0.4768328
1/1/84,5.0640591,1.3194472,0.4680037
2/1/84,5.0342412,1.2695955,0.4130959
3/1/84,5.1736894,1.3442575,0.4805385
4/1/84,5.3137983,1.3886424,0.5196546
5/1/84,5.4463469,1.4228445,0.5285705
6/1/84,5.735139,1.5326237,0.5789113
7/1/84,5.7354156,1.5154585,0.5784885
8/1/84,5.4270067,1.3717457,0.4827603
9/1/84,5.4416381,1.3728822,0.5009028
10/1/84,5.2147606,1.3031195,0.4651115
11/1/84,5.0159744,1.190929,0.2682071
12/1/84,5.0342399,1.1976941,0.3095733
1/1/85,5.1142968,1.2221949,0.3477185
2/1/85,5.0420932,1.1686435,0.352354
3/1/85,5.262634,1.2922764,0.4271116
4/1/85,5.0197753,1.2505305,0.425375
5/1/85,4.984325,1.1922227,0.3327895
6/1/85,4.5913278,1.2031861,0.3636911
7/1/85,4.5623268,1.2402847,0.4039801
8/1/85,4.7152609,1.3051207,0.4413298
9/1/85,4.6239161,1.2682198,0.4359783
10/1/85,4.6152271,1.2518228,0.4366386
11/1/85,4.4988455,1.208638,0.4221665
12/1/85,4.3655158,1.1702904,0.4062858
1/1/86,4.1387884,1.1386211,0.2625895
2/1/86,4.1181726,1.171821,0.2931736
3/1/86,3.7367611,1.120938,0.2738488
4/1/86,3.5536733,1.0964864,0.277201
5/1/86,3.6077332,1.1165299,0.3093187
6/1/86,3.9272729,1.3756669,0.463871
7/1/86,3.6712197,1.2814314,0.4198777
8/1/86,3.6324582,1.2570825,0.409531
9/1/86,3.4359002,1.2057601,0.3942505
10/1/86,3.6344365,1.2995179,0.4370162
11/1/86,3.5555861,1.2552941,0.4283965
12/1/86,3.4800833,1.224047,0.4259676
1/1/87,3.5240979,1.2122082,0.3950548
2/1/87,3.5218239,1.209387,0.4056393
3/1/87,3.3855791,1.1741446,0.4345937
4/1/87,3.6251496,1.2412331,0.4113311
5/1/87,3.9809201,1.4457568,0.5180904
6/1/87,3.9050188,1.4115333,0.5182284
7/1/87,3.9670631,1.3652149,0.4632988
8/1/87,4.0511275,1.3933172,0.5030676
9/1/87,4.1489692,1.3994592,0.5205173
10/1/87,4.2518415,1.4699546,0.5544365
11/1/87,4.1747832,1.309898,0.2793631
12/1/87,4.2591451,1.3077499,0.334727
1/1/88,4.2204345,1.2807886,0.3680157
2/1/88,3.8472522,1.2265382,0.3866773
3/1/88,3.8109943,1.2130518,0.3928376
4/1/88,4.0198724,1.307799,0.4332644
5/1/88,4.0553785,1.3195633,0.460759
6/1/88,4.1290591,1.3230759,0.4693093
7/1/88,4.0784464,1.2755766,0.4530967
8/1/88,4.0871682,1.2944214,0.4622338
9/1/88,4.1697337,1.3242448,0.4869946
10/1/88,4.0496883,1.2693917,0.4596157
11/1/88,4.0008188,1.2388278,0.4323994
12/1/88,4.1229057,1.3179001,0.4909862
1/1/89,4.2885136,1.3576515,0.4871891
2/1/89,4.1899346,1.3152199,0.4768804
3/1/89,4.3288816,1.3584696,0.5039928
4/1/89,4.2662182,1.2933644,0.4279872
5/1/89,4.0993473,1.2448791,0.4163362
6/1/89,3.9601983,1.1982318,0.375048
7/1/89,3.7419337,1.1655714,0.3725232
8/1/89,3.5784885,1.1320191,0.3467572
9/1/89,3.797509,1.3813578,0.4916107
10/1/89,3.8261876,1.3694802,0.4972085
11/1/89,3.6877522,1.2964492,0.4417103
12/1/89,3.6632645,1.270562,0.4458994
1/1/90,3.790805,1.2400685,0.3555717
2/1/90,3.9721427,1.3089052,0.4125747
3/1/90,3.9572843,1.3158344,0.4519094
4/1/90,3.9574181,1.3178255,0.4554618
5/1/90,4.1366521,1.3765565,0.4725315
6/1/90,3.9542983,1.283277,0.412364
7/1/90,3.8638041,1.2621513,0.4299261
8/1/90,3.8256958,1.2012863,0.3677158
9/1/90,4.0734267,1.2685928,0.4228613
10/1/90,3.9925768,1.2356491,0.4175479
11/1/90,3.9799187,1.2008361,0.3656533
12/1/90,3.8566272,1.1822384,0.3749228
1/1/91,3.8045971,1.1584319,0.3297383
2/1/91,3.7259127,1.1628351,0.3464582
3/1/91,3.8681694,1.2593148,0.4035459
4/1/91,3.7655984,1.245588,0.4177505
5/1/91,3.7827617,1.2133788,0.3709778
6/1/91,3.865324,1.2376717,0.3991723
7/1/91,3.8906803,1.2551133,0.4344667
8/1/91,3.8552348,1.2319479,0.4219753
9/1/91,3.6904141,1.1920914,0.4076709
10/1/91,3.589857,1.1603064,0.3875425
11/1/91,3.5532004,1.1447264,0.3725258
12/1/91,3.4956178,1.1333078,0.3726428
1/1/92,3.3688217,1.1103382,0.3344421
2/1/92,3.5751286,1.3164416,0.4540872
3/1/92,3.6100297,1.3109107,0.4723628
4/1/92,3.641295,1.3165834,0.4784324
5/1/92,3.6711864,1.286606,0.4366702
6/1/92,3.5871738,1.2487062,0.4372743
7/1/92,3.4468602,1.204761,0.4097369
8/1/92,3.3154797,1.1717759,0.3896315
9/1/92,3.2081161,1.1526615,0.3853355
10/1/92,3.0892278,1.1301904,0.360802
11/1/92,3.3433578,1.4375489,0.5400828
12/1/92,3.4364061,1.4423493,0.5465536
1/1/93,3.3294652,1.3632307,0.5033691
2/1/93,3.1872819,1.2949589,0.464536
3/1/93,3.0120671,1.2341053,0.4469842
4/1/93,3.0608057,1.2436588,0.4416245
5/1/93,3.0064162,1.2146697,0.4218108
6/1/93,2.9998339,1.2340816,0.426444
7/1/93,2.946292,1.199791,0.402573
8/1/93,2.9933546,1.2273243,0.4274508
9/1/93,2.8470506,1.1880888,0.4053732
10/1/93,2.8473516,1.171702,0.3907468
11/1/93,2.9136774,1.2172098,0.4267773
12/1/93,2.9813298,1.2413972,0.4409927
1/1/94,3.0223498,1.255398,0.4478011
2/1/94,2.9679993,1.2149225,0.3987562
3/1/94,3.2001088,1.3349257,0.496656
4/1/94,3.4756939,1.5290367,0.5883688
5/1/94,3.4511028,1.4826293,0.5696544
6/1/94,3.4930951,1.4406124,0.5457114
7/1/94,3.6032277,1.4373035,0.533456
8/1/94,3.4472497,1.3657941,0.5028638
9/1/94,3.4803927,1.3559275,0.5021788
10/1/94,3.669374,1.4293506,0.547579
11/1/94,3.7800547,1.4304565,0.5364845
12/1/94,3.8150244,1.4121225,0.5467659
1/1/95,3.86664,1.4047222,0.5298207
2/1/95,3.7690674,1.3411806,0.4922886
3/1/95,3.5760654,1.274066,0.4610747
4/1/95,3.5231408,1.2467378,0.4494254
5/1/95,3.3296496,1.1928045,0.3546792
6/1/95,3.015143,1.1732997,0.3589949
7/1/95,3.0816679,1.1978512,0.3907152
8/1/95,3.1708179,1.2633617,0.4394443
9/1/95,3.1177132,1.233461,0.4228728
10/1/95,3.0711001,1.2301618,0.4352902
11/1/95,3.0207028,1.2002966,0.4009967
12/1/95,2.8370533,1.1722757,0.4044711
1/1/96,2.8814735,1.1463834,0.3546206
2/1/96,2.8671836,1.1463859,0.3568036
3/1/96,2.9629321,1.2123163,0.4407888
4/1/96,3.1097521,1.2850024,0.4622078
5/1/96,3.2719934,1.3264712,0.457054
6/1/96,3.3646355,1.3579119,0.4863573
7/1/96,3.2589758,1.3175889,0.4789493
8/1/96,3.2637507,1.2953274,0.4605929
9/1/96,3.3520617,1.3245966,0.4908139
10/1/96,3.2741396,1.273487,0.4580568
11/1/96,3.1953407,1.2299947,0.4274061
12/1/96,3.040501,1.1974524,0.4232505
1/1/97,3.2421093,1.3013279,0.4703688
2/1/97,3.2370082,1.2808118,0.4594129
3/1/97,3.2576053,1.2956654,0.4582251
4/1/97,3.3733109,1.3511825,0.4931562
5/1/97,3.3054865,1.3124939,0.4721599
6/1/97,3.2962754,1.2487939,0.3442836
7/1/97,3.1968296,1.2346052,0.3780074
8/1/97,3.1381246,1.2095454,0.3847096
9/1/97,3.1400638,1.2280311,0.4183686
10/1/97,3.1142757,1.2007877,0.3951615
11/1/97,3.0902691,1.1941008,0.3997875
12/1/97,2.9939903,1.1899752,0.4014545
1/1/98,2.9523563,1.1730054,0.3957871
2/1/98,2.9135125,1.1648698,0.3874602
3/1/98,2.9446482,1.2084732,0.4175886
4/1/98,2.9271605,1.2065972,0.421301
5/1/98,2.9741111,1.2064414,0.4083568
6/1/98,2.9159772,1.1987847,0.4221392
7/1/98,2.9275565,1.1852977,0.4083063
8/1/98,2.9154367,1.1941355,0.4198985
9/1/98,2.7392548,1.1636277,0.403769
10/1/98,2.407417,1.1821559,0.36492569
11/1/98,2.5441109,1.2734585,0.4350848
12/1/98,2.5016398,1.2664617,0.45493283
1/1/99,2.5871265,1.2811503,0.4615878
2/1/99,2.6252973,1.287687,0.4610432
3/1/99,2.789154,1.3904999,0.5111121
4/1/99,2.7963377,1.3163159,0.4455387
5/1/99,2.8490328,1.3163285,0.4425763
6/1/99,2.9371065,1.3921296,0.5174921
7/1/99,3.0105503,1.3480847,0.4619376
8/1/99,3.0557115,1.3537567,0.4785674
9/1/99,3.0939121,1.329603,0.4747355
10/1/99,3.134861,1.3160987,0.4668048
11/1/99,3.1492332,1.3099245,0.4732743
12/1/99,3.2173645,1.3111523,0.4784082
1/1/00,3.2743698,1.3412394,0.4994769
2/1/00,3.3488244,1.3371627,0.4901758
3/1/00,3.3286618,1.2866908,0.4497709
4/1/00,3.1782392,1.2381495,0.4079024
5/1/00,3.2724233,1.2850955,0.4486183
6/1/00,3.3262841,1.1990852,0.3338776
7/1/00,3.0885155,1.1860898,0.3642109
8/1/00,3.0654361,1.2015475,0.3860937
9/1/00,2.9890166,1.1735708,0.3761021
10/1/00,2.9611545,1.1829336,0.394591
11/1/00,2.9558753,1.1831542,0.3981046
12/1/00,2.8761227,1.1622569,0.3978539
1/1/01,2.5332933,1.138336,0.3880614
2/1/01,2.6418159,1.1363542,0.2847227
3/1/01,2.4986875,1.139702,0.338552
4/1/01,2.586794,1.1555527,0.3546075
5/1/01,2.7619294,1.2058633,0.3678756
6/1/01,2.8453051,1.227771,0.3894594
7/1/01,2.8069829,1.2288033,0.3940835
8/1/01,2.6864373,1.1989245,0.3899516
9/1/01,2.7490267,1.158724,0.4068961
10/1/01,2.5279263,1.1188325,0.3255042
11/1/01,2.3965374,1.1137575,0.32789253
12/1/01,2.6393462,1.2461506,0.42848619
1/1/02,2.7899369,1.358012,0.4861878
2/1/02,2.7123769,1.3123732,0.4618564
3/1/02,2.7046551,1.2880281,0.4587392
4/1/02,2.9520356,1.3464267,0.4785638
5/1/02,2.7927848,1.2756869,0.443201
6/1/02,2.7303686,1.2535915,0.4356354
7/1/02,2.6473991,1.2169815,0.41688363
8/1/02,2.3926105,1.1797419,0.40189006
9/1/02,2.2175256,1.156886,0.39331644
10/1/02,2.1200192,1.1418255,0.38762164
11/1/02,2.1935127,1.1829783,0.41031348
12/1/02,2.3274091,1.2647531,0.46052261
1/1/03,2.2439394,1.1969138,0.38663345
2/1/03,2.2455641,1.1772516,0.37346332
3/1/03,2.0783864,1.151881,0.36956551
4/1/03,2.1166901,1.1920924,0.38548528
5/1/03,2.1170777,1.2140376,0.39592453
6/1/03,1.9788142,1.1568499,0.39580329
7/1/03,1.973451,1.1886766,0.40350992
8/1/03,2.2894709,1.4043515,0.51382409
9/1/03,2.3966164,1.4043422,0.51492205
10/1/03,2.1063259,1.3052642,0.46078503
11/1/03,2.2911369,1.3863626,0.51350215
12/1/03,2.3653793,1.3599259,0.50128901
1/1/04,2.3167501,1.3131558,0.47750887
2/1/04,2.2754574,1.2762915,0.45539325
3/1/04,2.1716856,1.2376694,0.44589563
4/1/04,2.1480768,1.2164152,0.43229729
5/1/04,2.4546894,1.3867434,0.50933174
6/1/04,2.5673682,1.3734061,0.51393203
7/1/04,2.501857,1.3415503,0.49397652
8/1/04,2.4716518,1.3122118,0.48110703
9/1/04,2.3558656,1.2401586,0.4563725
10/1/04,2.3505515,1.2493974,0.45803857
11/1/04,2.3070912,1.218337,0.42175607
12/1/04,2.3469422,1.2739643,0.45902396
1/1/05,2.3687512,1.2570988,0.44806548
2/1/05,2.3706533,1.2475411,0.43929254
3/1/05,2.474904,1.2800226,0.45715777
4/1/05,2.5215946,1.2789227,0.46055143
5/1/05,2.4035554,1.221808,0.42750259
6/1/05,2.2949612,1.2025153,0.4122731
7/1/05,2.359812,1.2140319,0.4097268
8/1/05,2.4709578,1.2407981,0.41595314
9/1/05,2.3536565,1.0781531,0.21520792
10/1/05,2.5492617,1.1991322,0.29821033
11/1/05,2.5758744,1.2688305,0.36137048
12/1/05,2.5702512,1.2720147,0.38755583
1/1/06,2.4488727,1.2359447,0.40273411
2/1/06,2.5135642,1.2850912,0.43290365
3/1/06,2.4741254,1.2783066,0.4690972
4/1/06,2.6257421,1.2794002,0.442014
5/1/06,2.6635907,1.2906453,0.4410671
6/1/06,2.6658287,1.2901259,0.4514906
7/1/06,2.721923,1.2772985,0.4411068
8/1/06,2.6194038,1.2330468,0.4137353
9/1/06,2.5174803,1.1990496,0.3365084
10/1/06,2.485753,1.2147361,0.35098894
11/1/06,2.3789791,1.1784627,0.4060862
12/1/06,2.3467956,1.1687616,0.37193252
1/1/07,2.5293118,1.2025925,0.3576475
2/1/07,2.5756304,1.2360165,0.3940066
3/1/07,2.4594415,1.1947259,0.38091024
4/1/07,2.4786022,1.209512,0.40067857
5/1/07,2.524481,1.1994456,0.39489761
6/1/07,2.6718196,1.2790326,0.45802992
7/1/07,2.6399293,1.2798023,0.462889
8/1/07,2.4898174,1.2385483,0.42886567
9/1/07,2.4115217,1.1986681,0.39854535
10/1/07,2.4520543,1.1870789,0.37787972
11/1/07,2.3840553,1.1258192,0.29956099
12/1/07,2.1470427,1.1237103,0.31299764
1/1/08,2.174666,1.1340748,0.32321258
2/1/08,2.0725733,1.1120286,0.29227207
3/1/08,1.9412978,1.1047946,0.32738115
4/1/08,2.0011092,1.1293766,0.34318672
5/1/08,2.2201559,1.2405561,0.39617397
6/1/08,2.3034655,1.2169889,0.35278004
7/1/08,2.343078,1.1970234,0.35754708
8/1/08,2.3471243,1.184959,0.37052959
9/1/08,2.2096956,1.1731495,0.36324406
10/1/08,2.1066821,1.2066017,0.31249246
11/1/08,2.0072092,1.2455393,0.24727665
12/1/08,1.5806981,1.1710135,0.24699127
1/1/09,1.621304,1.15917,0.26948436
2/1/09,1.6701025,1.1539969,0.30678911
3/1/09,1.6327655,1.1647245,0.35990429
4/1/09,1.6962653,1.1268905,0.33129585
5/1/09,1.8570946,1.225951,0.38054339
6/1/09,2.0073266,1.2439714,0.38743407
7/1/09,2.0420241,1.2420316,0.39130083
8/1/09,2.0934921,1.2199233,0.38802454
9/1/09,2.0688171,1.187508,0.38646009
10/1/09,1.9561555,1.1761974,0.3911391
11/1/09,2.0233626,1.1927549,0.39701612
12/1/09,1.9064085,1.1668623,0.38956025
1/1/10,2.0911325,1.3275341,0.48229737
2/1/10,2.0165529,1.2811064,0.46111999
3/1/10,2.0067599,1.2516075,0.45611324
4/1/10,2.0631275,1.3081659,0.46677283
5/1/10,2.0234055,1.2817381,0.45382013
6/1/10,1.8811319,1.2340777,0.434643
7/1/10,1.7304709,1.1848002,0.43133794
8/1/10,1.7086811,1.1658476,0.40546454
9/1/10,1.580762,1.1467902,0.40481884
10/1/10,1.5742367,1.1236226,0.3707564
11/1/10,1.5460638,1.1177811,0.35032067
12/1/10,1.6945193,1.2103835,0.4028428
1/1/11,1.9670054,1.2715228,0.44115648
2/1/11,1.9901515,1.2505481,0.43320821
3/1/11,2.048335,1.2381054,0.41771466
4/1/11,2.099215,1.2472274,0.42672544
5/1/11,2.032293,1.1916548,0.41595113
6/1/11,1.894122,1.1663034,0.39747521
7/1/11,1.9889734,1.1992538,0.42717122
8/1/11,1.7313642,1.1649313,0.41649671
9/1/11,1.5583105,1.1440924,0.40174249
10/1/11,1.5883361,1.1446024,0.40553757
11/1/11,1.6085842,1.1647874,0.41348036
12/1/11,1.6422125,1.1775767,0.42291825
1/1/12,1.6011744,1.1758662,0.4196948
2/1/12,1.5458862,1.1563519,0.40258899
3/1/12,1.5801475,1.1826697,0.41969279
4/1/12,1.6497201,1.2034739,0.44035067
5/1/12,1.5553438,1.1667997,0.36169354
6/1/12,1.4156358,1.139161,0.3892074
7/1/12,1.4852789,1.1662842,0.4005663
8/1/12,1.480409,1.1504595,0.37113147
9/1/12,1.5292492,1.1308315,0.3671691
10/1/12,1.5026504,1.1512764,0.37880191
11/1/12,1.5179508,1.1812764,0.37830663
12/1/12,1.5262619,1.1649553,0.39738278
1/1/13,1.4890559,1.2165788,0.41883836
2/1/13,1.5381946,1.2050741,0.39101545
3/1/13,1.4118858,1.153486,0.26875656
4/1/13,1.4618435,1.1647183,0.33785295
5/1/13,1.4138488,1.1759681,0.35382745
6/1/13,1.5503442,1.2359215,0.39003553
7/1/13,1.634568,1.292494,0.45195869
8/1/13,1.7580797,1.2864123,0.46262029
9/1/13,1.8688006,1.3064023,0.47678747
10/1/13,1.7246934,1.2680435,0.44050369
11/1/13,1.7163045,1.2602462,0.43903639
12/1/13,1.7851389,1.2365995,0.44602279
1/1/14,1.8490071,1.2914453,0.47642691
2/1/14,1.7690838,1.2523933,0.45496905
3/1/14,1.7451938,1.2399027,0.46498469
4/1/14,1.87485,1.2713635,0.46540729
5/1/14,1.8687902,1.2451624,0.445655
6/1/14,1.8300901,1.2307904,0.44397422
7/1/14,1.8823807,1.2255665,0.45033551
8/1/14,1.8790741,1.2286231,0.41469918
9/1/14,1.9131183,1.2179332,0.42697234
10/1/14,1.8727096,1.2299821,0.43147665
11/1/14,1.8157437,1.2211969,0.39510803
12/1/14,1.8521375,1.1374824,0.45847706
1/1/15,1.6943704,1.2003966,0.32165939
2/1/15,1.5339526,1.169366,0.31836221
3/1/15,1.7034873,1.2316641,0.36021406
4/1/15,1.7122854,1.1847672,0.36618979
5/1/15,1.793767,1.2105168,0.37948302
6/1/15,1.8240356,1.2124344,0.38907664
7/1/15,1.8829511,1.2396006,0.41520451
8/1/15,1.817785,1.2152095,0.40961254
9/1/15,1.838593037,1.2110942,0.42396602
10/1/15,1.7425951,1.2014385,0.42730845
11/1/15,1.802926,1.215392,0.39944678
12/1/15,1.812731234,1.2234686,0.41632938
1/1/16,1.850428128,1.2456638,0.43556984
2/1/16,1.707169397,1.2014762,0.41307919
3/1/16,1.648576777,1.1836192,0.41306092
4/1/16,1.716039634,1.1449932,0.36961225
5/1/16,1.748932212,1.1676221,0.37862304
6/1/16,1.723745146,1.1772199,0.40273091
7/1/16,1.630045922,1.1481324,0.39349845
8/1/16,1.647688508,1.1692884,0.40236436
9/1/16,1.727896825,1.1757562,0.4222638
10/1/16,1.704590047,1.1841811,0.42020087
11/1/16,1.7582957,1.2044047,0.43219912
12/1/16,1.9536917,1.3290649,0.51152527
1/1/17,1.9224168,1.2897367,0.44729524
2/1/17,1.9216264,1.2876996,0.4528591
3/1/17,1.886540978,1.2920425,0.43189243
4/1/17,1.85758237,1.2598127,0.42822324
5/1/17,1.840545428,1.2578464,0.4302608
6/1/17,1.730200884,1.1985039,0.41700636
7/1/17,1.849556944,1.2285199,0.4247026
8/1/17,1.815338497,1.2097536,0.40813678
9/1/17,1.843869949,1.1819244,0.38346625
10/1/17,1.89298914,1.228287,0.41610807
11/1/17,1.924965082,1.2272774,0.42183295
12/1/17,2.011187028,1.1610032,0.50245928
1/1/18,1.9564191,1.218308,0.47116736
2/1/18,2.0733316,1.2912536,0.49074017
3/1/18,1.9702416,1.2306141,0.31528841
4/1/18,1.9843634,1.2328859,0.35569996
5/1/18,2.091618,1.2843951,0.41195415
6/1/18,2.045903,1.2620296,0.44274622
7/1/18,2.0957182,1.2543079,0.44454232
8/1/18,2.1403619,1.2734675,0.45845816
9/1/18,2.1361527,1.2468578,0.45811379
10/1/18,2.166776,1.2740029,0.47120565
11/1/18,2.1541785,1.2667843,0.44999357
12/1/18,2.0913492,1.2442892,0.43152046
1/1/19,1.9583245,1.2070958,0.41594068
2/1/19,1.9706944,1.2130935,0.42713465
3/1/19,1.6920777,1.0207319,-0.12460728
4/1/19,1.7473759,1.0600166,0.02607161
5/1/19,1.8026568,1.1371593,0.16716363
6/1/19,1.6370534,1.1289913,0.23350857
7/1/19,1.6760985,1.1479148,0.28453368
8/1/19,1.6590958,1.1609962,0.32780394
9/1/19,1.5604485,1.1464023,0.34548342
10/1/19,1.6419872,1.184165,0.37600307
11/1/19,1.6793528,1.1995382,0.39646307
12/1/19,1.7145255,1.2196729,0.41997208
1/1/20,1.7346773,1.2199695,0.43233388
2/1/20,1.6190037,1.1906984,0.4189623
3/1/20,1.2697752,1.019973,0.013884727
4/1/20,1.1583498,1.0322013,0.09733877
5/1/20,1.1623428,1.0736871,0.18457085
6/1/20,1.2318667,1.068222,0.19916694
7/1/20,1.3469005,1.0530717,0.23820052
8/1/20,1.3409558,1.0731986,0.26461039
9/1/20,1.3509992,1.1089133,0.30473418
10/1/20,1.3375377,1.136073,0.33756408
11/1/20,1.3766326,1.1655101,0.36912212
12/1/20,1.4171704,1.1646201,0.38246918
1/1/21,1.3794238,1.1682306,0.39110134
2/1/21,1.427576,1.1722263,0.4001646
3/1/21,1.4974036,1.2057374,0.40888522
4/1/21,1.5831471,1.2015461,0.37993136
5/1/21,1.578353,1.1745436,0.35927425
6/1/21,1.5962885,1.1466392,0.33403188
7/1/21,1.6248107,1.1560817,0.35313136
8/1/21,1.5801629,1.1061539,0.38610663
9/1/21,1.6427859,1.1518996,0.39175913
10/1/21,1.6127395,1.1640596,0.38846843
11/1/21,1.7584965,1.1802303,0.37864796
12/1/21,1.7589751,1.1718709,0.38081712
1/1/22,1.7965635,1.2068075,0.40110966
2/1/22,1.9211217,1.2171895,0.40137972
3/1/22,1.9472164,1.1623305,0.34034781
4/1/22,2.2112541,1.4173954,0.50830429
5/1/22,2.3703946,1.4372574,0.51323801
6/1/22,2.4012638,1.3482276,0.4652208
7/1/22,2.2225732,1.3112157,0.36556637
8/1/22,2.0995915,1.2694036,0.3956813
9/1/22,2.3659893,1.3973509,0.5078873
10/1/22,2.3708089,1.4823361,0.55551203
11/1/22,2.45467,1.4993449,0.55651039
12/1/22,2.2193777,1.4022366,0.49350807
1/1/23,2.2856093,1.3946749,0.49550677
2/1/23,2.1057394,1.3155493,0.45293449
3/1/23,2.2586241,1.4730827,0.57070572
4/1/23,2.1034881,1.3602682,0.50311937
5/1/23,2.1628146,1.3745858,0.50859474
6/1/23,1.7548968,1.11486,0.035729168
7/1/23,2.0640132,1.3092147,0.1835052
8/1/23,2.1387656,1.3411725,0.27482523
9/1/23,2.2222181,1.3632687,0.35592982
10/1/23,2.3626631,1.4604398,0.45779053
11/1/23,2.3841139,1.4445712,0.48641041
12/1/23,2.2784103,1.349856,0.48027438
1/1/24,2.1645073,1.3239901,0.47696155
2/1/24,2.146201,1.2947154,0.45796103
3/1/24,2.2187527,1.3377186,0.50813875
4/1/24,2.3429614,1.3444391,0.50397493
5/1/24,2.4515011,1.3870562,0.51480454
6/1/24,2.3698744,1.3486468,0.48679865
